Sigla,Código,Estado,consumo_energia_2023
AC,12,Acre,"635808,9"
AL,27,Alagoas,"1857651,33"
AM,13,Amazonas,2554769
AP,16,Amapá,689201
BA,29,Bahia,"7939190,58"
CE,23,Ceará,"5401024,4"
DF,53,Distrito Federal,2548845
ES,32,Espírito Santo,"3206165,8"
GO,52,Goiás,"6593157,38"
MA,21,Maranhão,"4628804,9"
MG,31,Minas Gerais,"14189836,49"
MS,50,Mato Grosso do Sul,"2306050,51"
MT,51,Mato Grosso,"3704978,9"
PA,15,Pará,"5111193,78"
PB,25,Paraíba,"2530911,76"
PE,26,Pernambuco,5709282
PI,22,Piauí,"2248836,6"
PR,41,Paraná,"9163554,07"
RJ,33,Rio de Janeiro,"12674119,41"
RN,24,Rio Grande do Norte,2416741
RO,11,Rondônia,"1682521,02"
RR,14,Roraima,"697321,44"
RS,43,Rio Grande do Sul,"10407893,04"
SC,42,Santa Catarina,"7454763,49"
SE,28,Sergipe,"1450420,51"
SP,35,São Paulo,"45624761,41"
TO,17,Tocantins,"1307190,53"
